cast,director,id,budget,genres,imdb_id,original_language,popularity,poster_path,production_companies,release_date,revenue,status,title,imdb_rating
James Spader,Walter Hill,10384,90000000.0,Horror,0134983,en,5.496624,/xSw9HKPKwFx63p2puHQkxcmCVia.jpg,United Artists,2000-01-14,14828081.0,Released,Supernova,4.9
Ayesha Dharker,Santosh Sivan,48233,24554.0,Drama,0169302,en,0.154526,/hUbH2hhcBmcothEIpqyuBHXE2FB.jpg,,1998-09-12,140021.0,Released,The Terrorist,8.1
Steve McQueen,Franklin J. Schaffner,5924,12000000.0,Crime,0070511,en,15.698432999999998,/q1tmTQvEWbJgf8eccX1XWXxWKkK.jpg,Solar Productions,1973-12-13,53267000.0,Released,Papillon,7.8
Nicole Kidman,Phillip Noyce,10493,10000000.0,Crime,0097162,en,13.464246,/oA0rhf1ItxjMobrzjZG24uKAylU.jpg,Kennedy Miller Productions,1989-04-07,7825000.0,Released,Dead Calm,6.6
Sean Penn,Amy Heckerling,13342,4500000.0,Comedy,0083929,en,14.658885,/9y5rSeO0xH3m5oRJmhBusDkiS0j.jpg,Universal Pictures,1982-08-13,27092880.0,Released,Fast Times at Ridgemont High,7.0
Meryl Streep,Fred Schepisi,35119,15000000.0,Drama,0094924,en,3.970538,/1ApBw8LkItTf5CIUCdqwtJxFlce.jpg,Warner Bros.,1988-11-11,6908797.0,Released,A Cry in the Dark,6.4
Kevin Conroy,Bruce Timm,14919,6000000.0,Action,0106364,en,7.2911399999999995,/l4jaQjkgznu2Rz05X18f24UjPNW.jpg,DC Comics,1993-12-25,5617391.0,Released,Batman: Mask of the Phantasm,7.4
Edith Meeks,Todd Haynes,47620,250000.0,Drama,0102687,en,1.9245349999999999,/1TlQu3bzXfX0RFQO48pNuZTtkC3.jpg,Poison L.P.,1991-04-05,609524.0,Released,Poison,6.4
Denzel Washington,Spike Lee,1883,34000000.0,Drama,0104797,en,14.207001000000002,/jDQ2iBJuiimvYqk9orA2YaigBmW.jpg,JVC Entertainment,1992-11-18,48169908.0,Released,Malcolm X,7.3
Whoopi Goldberg,Emile Ardolino,2005,31000000.0,Music,0105417,en,18.83065,/7wQxLtybiUbtC6tsJh9htFEmqq3.jpg,Touchstone Pictures,1992-05-28,231605150.0,Released,Sister Act,6.5
Whoopi Goldberg,Bill Duke,6279,38000000.0,Music,0108147,en,12.986842,/tLbvfUYw8Pr7DMI5TGL5DX1bx5S.jpg,Touchstone Pictures,1993-12-09,57319029.0,Released,Sister Act 2: Back in the Habit,5.9
Annabella Sciorra,Curtis Hanson,11087,11700000.0,Thriller,0104389,en,6.672714999999999,/mKNDQjZ49UdkbH6SPC9wbxtcp39.jpg,Hollywood Pictures,1992-01-10,88036683.0,Released,The Hand that Rocks the Cradle,6.5
Ethan Hawke,Frank Marshall,7305,32000000.0,Action,0106246,en,8.662287,/clvLOOdqRrnvAxZuKI5k7QNQZAv.jpg,Paramount Pictures,1993-01-15,36733909.0,Released,Alive,6.7
Al Pacino,Martin Brest,9475,31000000.0,Drama,0105323,en,14.505987,/22m6tUzIYxXs5cjyl7KJJPULlMT.jpg,Universal Pictures,1992-12-23,134095253.0,Released,Scent of a Woman,7.3
Mike Myers,Penelope Spheeris,8872,20000000.0,Music,0105793,en,10.180776,/ttv6BA0DOes1zXMnQSNXTGeGkdJ.jpg,Paramount Pictures,1992-02-14,121697323.0,Released,Wayne's World,6.5
Tom Hanks,Penny Marshall,11287,40000000.0,Comedy,0104694,en,10.852038,/mHr58FxWSPZtxSqVxDpO12nKmMi.jpg,Columbia Pictures Corporation,1992-07-01,107458785.0,Released,A League of Their Own,6.8
Harrison Ford,Phillip Noyce,9869,45000000.0,Drama,0105112,en,11.075674000000001,/nB8fcOEQPS0V64U0ZUJXCTEaCDY.jpg,Paramount Pictures,1992-06-04,178051587.0,Released,Patriot Games,6.4
Whitney Houston,Mick Jackson,619,25000000.0,Thriller,0103855,en,9.805017,/cbUiIu4357JQ4FBCtRJovHNv1gi.jpg,Tig Productions,1992-11-25,411006740.0,Released,The Bodyguard,6.2
Meryl Streep,Robert Zemeckis,9374,55000000.0,Fantasy,0104070,en,11.017417,/qNIkecw9i44ljTJaMfkdeyLc4vB.jpg,Universal Pictures,1992-07-30,149022650.0,Released,Death Becomes Her,6.3
Tom Cruise,Ron Howard,11259,60000000.0,Adventure,0104231,en,7.472753,/yNdfm55jkgFk1IeAqxSEPFDPR5x.jpg,Imagine Entertainment,1992-05-22,137783840.0,Released,Far and Away,6.3
Sheryl Lee,David Lynch,1923,10000000.0,Drama,0105665,en,8.736538000000001,/tOQekTHJmVCgfUYXTb6dLAu6l8W.jpg,New Line Cinema,1992-06-03,4160851.0,Released,Twin Peaks: Fire Walk with Me,7.3
Kristy Swanson,Fran Rubel Kuzui,10206,7000000.0,Action,0103893,en,4.9419889999999995,/r0feHChsxNVMpqwT6Wk9GIJxs2n.jpg,Twentieth Century Fox Film Corporation,1992-07-24,16624456.0,Released,Buffy the Vampire Slayer,5.3
Harvey Keitel,Abel Ferrara,12143,1000000.0,Crime,0103759,en,6.4170370000000005,/oe8VjWCKXktqA19T1ZWtaSn8rc2.jpg,Bad Lt. Productions,1992-09-16,2019469.0,Released,Bad Lieutenant,6.9
David Arquette,Wes Craven,4234,40000000.0,Horror,0134084,en,9.738371,/8mmObJf9L07wwF92gKdVb4lRXVC.jpg,Konrad Pictures,2000-02-03,161834276.0,Released,Scream 3,5.7
Bridget Fonda,Barbet Schroeder,9605,16000000.0,Thriller,0105414,en,7.246119,/3PH1tWrCAtAb7ws5BNYN9j0DnxN.jpg,Columbia Pictures,1992-08-14,48017402.0,Released,Single White Female,6.0
Willem Dafoe,Troy Duffy,8374,6000000.0,Action,0144117,en,12.457908,/fg6fhyKg3vbdGtnf9Hq27Q5gS3r.jpg,Franchise Pictures,1999-01-22,30471.0,Released,The Boondock Saints,7.2
Sandra Bullock,Eric Blakeney,29076,10000000.0,Action,0171356,en,6.370105000000001,/nB4JPNv45MZWqeBCggPYzh8etty.jpg,Hollywood Pictures,2000-02-04,1631839.0,Released,Gun Shy,5.4
Leonardo DiCaprio,Danny Boyle,1907,40000000.0,Drama,0163978,en,14.430310999999998,/4VgPflOJMxlqOYpAqXCm5J6BkYm.jpg,Figment Films,2000-02-11,144056873.0,Released,The Beach,6.3
Jim Cummings,Jun Falkenstein,15655,30000000.0,Animation,0220099,en,7.023414,/qhiNJzT2IbK9MkMVQFr0Jk4Pj8h.jpg,Walt Disney Pictures,2000-02-11,45554533.0,Released,The Tigger Movie,6.3
Gary Dourdan,Rob Hardy,77908,200000.0,Drama,0217107,en,0.06431,/fflLZTjDKmTxxsi0cPava6GPLlr.jpg,Rainforest Films,2000-02-11,1160268.0,Released,Trois,4.5
Giovanni Ribisi,Ben Younger,14181,26000000.0,Crime,0181984,en,8.518425,/saPIJPgg5EHyduryuRAEr8y3SuX.jpg,New Line Cinema,2000-02-18,28780255.0,Released,Boiler Room,6.5
Meg Ryan,Diane Keaton,10385,40000000.0,Comedy,0162983,en,6.474767,/lnnFFGhIXi6ZDU3r29eKHKTHdq0.jpg,Laurence Mark Productions,2000-02-16,36037909.0,Released,Hanging Up,5.0
Vin Diesel,David Twohy,2787,23000000.0,Thriller,0134847,en,6.424399,/j4iBVA49KDBX4ypfVcZxl1y7CCT.jpg,Interscope Communications,2000-02-18,53187659.0,Released,Pitch Black,6.7
Bruce Willis,Jonathan Lynn,2069,41300000.0,Comedy,0190138,en,12.061521,/rnXnZrKipVb8v4mS2Oo6Ga2O0fg.jpg,Franchise Pictures,2000-02-18,106371651.0,Released,The Whole Nine Yards,6.3
Charlie Chaplin,Charlie Chaplin,901,1500000.0,Comedy,0021749,en,10.891524,/bXNvzjULc9jrOVhGfjcc64uKZmZ.jpg,Charles Chaplin Productions,1931-01-30,19181.0,Released,City Lights,8.2
Charlie Chaplin,Charlie Chaplin,10098,250000.0,Comedy,0012349,en,8.168455999999999,/drgMcyTsySQBnUPGaBThCHGdlWT.jpg,Charles Chaplin Productions,1921-01-21,2500000.0,Released,The Kid,8.0
Ben Affleck,John Frankenheimer,2155,42000000.0,Thriller,0184858,en,12.11759,/rK1P7za5gHvCqjrOVcsUTSlaSNq.jpg,Dimension Films,2000-02-25,32168970.0,Released,Reindeer Games,5.3
Brian Hooks,DJ Pooh,47816,6000000.0,Action,0199290,en,0.651625,/3VzvC5WiBZy2cdLwOSbXcYPk5uO.jpg,,2000-03-01,9000000.0,Released,3 Strikes,5.9
Danny DeVito,Nick Gomez,25166,16000000.0,Comedy,0186045,en,4.372616000000001,/tAkoosobX8wEwIJnPICEhrCI7H5.jpg,Code Entertainment,2000-03-03,15427192.0,Released,Drowning Mona,5.4
Madonna,John Schlesinger,1831,25000000.0,Comedy,0156841,en,2.9719990000000003,/9GzP7WODLwpwxl8WaVpziI68w2n.jpg,Paramount Pictures,2000-03-03,24362772.0,Released,The Next Best Thing,4.3
Mick Foley,Barry W. Blaustein,14271,2053648.0,Documentary,0218043,en,2.691433,/mQfGqPwcwWOo03SWnMb5qvInBEj.jpg,Imagine Entertainment,1999-10-22,500000.0,Released,Beyond the Mat,7.8
Matthew Modine,Alan Parker,11296,12000000.0,Drama,0086969,en,16.243093,/4O4uGfudufMXw7sNUJXJorCGcR3.jpg,TriStar Pictures,1984-12-14,1400000.0,Released,Birdy,6.9
William Kerwin,Herschell Gordon Lewis,28172,24500.0,Horror,0056875,en,1.783412,/bH2GAITqQeJZsJPQBLhZXOlfjkH.jpg,Friedman-Lewis Productions,1963-06-06,4000000.0,Released,Blood Feast,5.3
Gary Sinise,Brian De Palma,2067,90000000.0,Science Fiction,0183523,en,9.021107,/eco5chujn3Mt7HnuMTUIuobPMoX.jpg,Spyglass Entertainment,2000-03-10,60874615.0,Released,Mission to Mars,5.7
Johnny Depp,Roman Polanski,622,38000000.0,Horror,0142688,en,11.316349,/uamhDQBebdW3UQqOaVmma3yW8pm.jpg,Bac Films,1999-08-24,58401898.0,Released,The Ninth Gate,6.3
Dennis Quaid,Peter Yates,20283,2300000.0,Drama,0078902,en,4.806374,/aHQj3D9fvWILOZWLuqS3WRHjGkq.jpg,Twentieth Century Fox Film Corporation,1979-05-24,20000000.0,Released,Breaking Away,7.4
Gene Hackman,David Anspaugh,5693,9000000.0,Drama,0091217,en,6.484495,/jKEcIvayP1GGI1TSScoXyEd4mGb.jpg,Orion Pictures,1986-11-14,28607524.0,Released,Hoosiers,7.1
Kevin Costner,Ron Shelton,287,7000000.0,Comedy,0094812,en,6.924072,/wZwXLiR1cisTXaJiuBLvgkS5HWw.jpg,Orion Pictures,1988-06-15,50888000.0,Released,Bull Durham,6.6
Al Pacino,Sidney Lumet,968,1800000.0,Crime,0072890,en,7.530125999999999,/qgWuZ2yNJrclU8EldQG4rLhwMoy.jpg,Artists Entertainment Complex,1975-08-11,46665856.0,Released,Dog Day Afternoon,7.6
Richard Dreyfuss,George Lucas,838,777000.0,Comedy,0069704,en,9.188584,/xq8MFYQ6MLZ65mFpweqV6mCs39k.jpg,Lucasfilm,1973-08-01,140000000.0,Released,American Graffiti,6.9
Kevin Costner,Oliver Stone,820,40000000.0,Drama,0102138,en,13.813146,/9bmXpKDJv2kdtD4QNexErjGTIOz.jpg,Camelot Productions,1991-12-20,205405498.0,Released,JFK,7.5
Kim Basinger,Blake Edwards,918,18000000.0,Comedy,0092666,en,6.696292,/8tJfFsVbYjmJG23umiCK16NQcln.jpg,Permut Presentations,1987-03-27,39321715.0,Released,Blind Date,5.6
Jeff Bridges,Robert Benton,61178,12000000.0,Action,0093596,en,7.569698,/mim8TLLXmD3ui03f9jVmOXGACv8.jpg,TriStar Pictures,1987-08-07,5669831.0,Released,Nadine,5.5
Clifton Webb,Jean Negulesco,16535,1805000.0,Drama,0046435,en,12.90707,/8DMS4zPRF3uH4BZ8OC4GtZ8ewD9.jpg,Twentieth Century Fox Film Corporation,1953-04-11,4905000.0,Released,Titanic,6.2
Julia Roberts,Steven Soderbergh,462,52000000.0,Drama,0195685,en,10.135446,/if90sXZkI4aaxdlhxKejpniT9ff.jpg,Jersey Films,2000-03-17,256271286.0,Released,Erin Brockovich,7.1
Devon Sawa,James Wong,9532,23000000.0,Horror,0195714,en,14.961416,/nW6JfCIWqUpIESlras0nrVy4pCl.jpg,New Line Cinema,2000-03-16,53302314.0,Released,Final Destination,6.4
Susan Sarandon,Ridley Scott,1541,16000000.0,Drama,0103074,en,14.785388000000001,/pnzuLoE52EiTfjfqRex2uTkH7LB.jpg,Pathé Entertainment,1991-05-24,45361000.0,Released,Thelma & Louise,7.2
John Belushi,John Landis,8469,2700000.0,Comedy,0077975,en,7.5253820000000005,/AuJkgAh7zAGsm7Oo3CGyDtYvzg0.jpg,Universal Pictures,1978-07-27,141000000.0,Released,Animal House,7.0
Danny Aiello,Spike Lee,925,6500000.0,Drama,0097216,en,10.465403,/86iGwYjAcVmrOoLCmU8vsrySoLj.jpg,Universal Pictures,1989-06-30,37295445.0,Released,Do the Right Thing,7.6
Denzel Washington,Spike Lee,41823,10000000.0,Drama,0100168,en,2.715137,/eF6mhJfx3CAHXcbbLKt8Knj0YSL.jpg,Universal Pictures,1990-08-03,16153593.0,Released,Mo' Better Blues,6.3
Spike Lee,Spike Lee,1713,14000000.0,Drama,0102175,en,7.701917999999999,/eSWv0PSnBqQbSBzce6iaDFkf6T9.jpg,Universal Pictures,1991-06-07,32482682.0,Released,Jungle Fever,6.0
Charles Bronson,Michael Winner,13939,3000000.0,Action,0071402,en,12.968011,/3PKm5qtlxxIX7WEmWkCub6PCFSX.jpg,Paramount Pictures,1974-07-24,22000000.0,Released,Death Wish,7.0
Charles Bronson,Michael Winner,14373,2000000.0,Action,0082250,en,7.965003,/cD0RZPk8IE1FiJphsKdlBxnTzRt.jpg,Cannon Films,1982-02-20,45000000.0,Released,Death Wish 2,6.1
Charles Bronson,Michael Winner,24873,9000000.0,Action,0089003,en,12.829903999999999,/ike0J7zLCOzfxgBfXExFObM5UYc.jpg,Cannon Group,1985-11-01,16945171.0,Released,Death Wish 3,6.1
Charles Bronson,Allan A. Goldstein,34746,5000000.0,Action,0109578,en,3.595599,/mWLBf0aSW9CPZcBvTEVglGlx3QT.jpg,21st Century Film Corporation,1994-01-14,1702394.0,Released,Death Wish 5: The Face of Death,5.0
Fred MacMurray,Billy Wilder,996,927262.0,Drama,0036775,en,6.49432,/nW0cCpfuGcR1JG7EinDbdL2Ijf2.jpg,Paramount Pictures,1944-04-24,2500000.0,Released,Double Indemnity,8.0
Vanilla Ice,David Kellogg,1496,6000000.0,Drama,0101615,en,2.329486,/kt6svEFscOUkisIeIlicpzmp3BC.jpg,Universal Pictures,1991-10-18,1193062.0,Released,Cool as Ice,4.7
Judith Hoag,Steve Barron,1498,13500000.0,Science Fiction,0100758,en,13.184585,/cok0SSxmD7fYeZj6l9XOr2mb0YL.jpg,New Line Cinema,1990-03-30,202000000.0,Released,Teenage Mutant Ninja Turtles,6.5
Paige Turco,Michael Pressman,1497,25000000.0,Science Fiction,0103060,en,7.9942660000000005,/HD4LtUw4Ono9tzgwWOhHpHcjkj.jpg,New Line Cinema,1991-03-22,78000000.0,Released,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,5.8
Paige Turco,Stuart Gillard,1499,21000000.0,Action,0108308,en,8.13688,/bax6hItUe0XSeyO25J5V7hhgkkZ.jpg,New Line Cinema,1993-03-17,42000000.0,Released,Teenage Mutant Ninja Turtles III,5.1
Patrick Swayze,John Milius,1880,4200000.0,Action,0087985,en,8.233168,/hVyeN1aFmqLsRK9VNElETYBDtnf.jpg,United Artists,1984-08-10,38376497.0,Released,Red Dawn,6.4
Stephen Lang,Paul Michael Glaser,33762,8700000.0,Action,0090693,en,4.397712,/Z2ckKHc67zszpgXsZwTAc4SQDH.jpg,Delphi V Productions,1986-04-11,4865912.0,Released,Band of the Hand,6.9
Jean-Claude Van Damme,Newt Arnold,11690,1500000.0,Action,0092675,en,8.822275999999999,/E4d48dFICxN1tcGywt1p5zBHYJ.jpg,Cannon Films,1988-02-26,11806119.0,Released,Bloodsport,6.6
Faye Dunaway,Irvin Kershner,29143,7000000.0,Drama,0077530,en,3.705714,/pJCOYaYaOidj5pfpenkfeaucEki.jpg,Columbia Pictures Corporation,1978-08-02,20000000.0,Released,Eyes of Laura Mars,5.7
Robin Williams,Barry Levinson,801,13000000.0,Comedy,0093105,en,9.023282,/62Ve2yREvobU0qo4DxdSrShh1YO.jpg,Silver Screen Partners III,1987-12-23,123922370.0,Released,"Good Morning, Vietnam",7.1
Spencer Tracy,Stanley Kramer,1879,4000000.0,Comedy,0061735,en,5.032469,/bhdXWhembE6a6q11NqpUcEdtAbw.jpg,Stanley Kramer Productions,1967-12-11,56666667.0,Released,Guess Who's Coming to Dinner,7.6
Jet Li,Andrzej Bartkowiak,2085,25000000.0,Action,0165929,en,8.369176,/4c5YlG72lFWdvCNkTJphc4OGjBX.jpg,Silver Pictures,2000-03-20,91036760.0,Released,Romeo Must Die,6.0
Jodi Lyn O'Keefe,David Raynr,16222,15000000.0,Drama,0202402,en,3.550711,/ao4RoGXC9woWc7hrRtDRRyDbCJl.jpg,Columbia Pictures Corporation,2000-03-31,9902115.0,Released,Whatever It Takes,5.1
Billy Crudup,Keith Gordon,37722,8500000.0,Drama,0127349,en,1.241671,/8tPS6UXtEDAHqzt6WtLG7k3rpzq.jpg,Egg Pictures,2000-03-23,327418.0,Released,Waking the Dead,6.5
Charlie Chaplin,Charlie Chaplin,3082,1.0,Drama,0027977,en,8.159556,/m4ZCx2Iwr418IGPxRfoKnpumz9X.jpg,United Artists,1936-02-05,8500000.0,Released,Modern Times,8.1
Paul Newman,Martin Ritt,24748,2500000.0,Action,0057163,en,4.526285,/nKTQRcl5q6JmwPxjlEFMXJ04SdQ.jpg,Paramount Pictures,1963-05-29,10000000.0,Released,Hud,7.4
Paul Newman,Robert Rossen,990,2000000.0,Drama,0054997,en,9.333533000000001,/u38NLUtWarEbv2gZGOnHhf6akWC.jpg,Twentieth Century Fox Film Corporation,1961-09-25,7600000.0,Released,The Hustler,7.6
Richard Dreyfuss,Steven Spielberg,840,20000000.0,Science Fiction,0075860,en,10.610446000000001,/mABOVIUl5lB0WF4HG28rfamgxG1.jpg,Columbia Pictures Corporation,1977-11-16,303788635.0,Released,Close Encounters of the Third Kind,7.2
Tim Robbins,Adrian Lyne,2291,25000000.0,Drama,0099871,en,8.176863,/2Byg7AV91LF7pfByz4ZMvnkZnH7.jpg,TriStar Pictures,1990-11-02,25965144.0,Released,Jacob's Ladder,7.3
Lou Diamond Phillips,Luis Valdez,16620,6500000.0,Drama,0093378,en,6.476534,/cjgXvTixDiUsQbfwrxoT1m0kr2E.jpg,Columbia Pictures Corporation,1987-07-24,54215416.0,Released,La Bamba,6.8
Matthew Broderick,Richard Donner,526,20000000.0,Adventure,0089457,en,8.157587,/51RFCKLFuEbvLQsFzXcupQnkoRD.jpg,Twentieth Century Fox Film Corporation,1985-03-27,18432000.0,Released,Ladyhawke,6.8
Corey Haim,David Seltzer,13346,6000000.0,Comedy,0091445,en,4.57535,/zSaUbuJPDbxDUX4Jh6lOYRFSR3M.jpg,Twentieth Century Fox Film Corporation,1986-03-28,8200000.0,Released,Lucas,6.4
John Cusack,Stephen Frears,243,30000000.0,Comedy,0146882,en,8.524956,/sEZKCUFU6Ozf7hZ3UuaKWUqHLTZ.jpg,Buena Vista,2000-03-17,47126295.0,Released,High Fidelity,7.0
Kenneth Branagh,Don Michael Paul,10501,95000000.0,Adventure,0138749,en,8.755188,/lQnNNjT4yW3i2rmQhGibiPBnc6e.jpg,DreamWorks SKG,2000-03-31,76432727.0,Released,The Road to El Dorado,7.0
Joshua Jackson,Rob Cohen,11478,15000000.0,Crime,0192614,en,11.363754,/ww0HZpFwz9HtEW3HbrKtfts2tNH.jpg,Universal Pictures,2000-03-31,35007180.0,Released,The Skulls,5.7
John Wayne,Howard Hawks,6644,4653000.0,Western,0061619,en,7.0706690000000005,/jnbUOe6dAXK4Hs6dhYgvmdr5CbO.jpg,Paramount Pictures,1966-12-17,6000000.0,Released,El Dorado,7.2
Robin Williams,Steven Spielberg,879,70000000.0,Adventure,0102057,en,14.508137,/6plGuz8L3fvkuENB0G2ZpBz6kej.jpg,Amblin Entertainment,1991-12-11,300854823.0,Released,Hook,6.7
Brad Davis,Alan Parker,11327,2300000.0,Drama,0077928,en,7.1860479999999995,/afgAGwV1WXjMoooUzaSnw7XAvhj.jpg,Columbia Pictures,1978-09-12,35000000.0,Released,Midnight Express,7.6
James Caan,Rob Reiner,1700,20000000.0,Drama,0100157,en,15.020845000000001,/s0Ot5zUmVF1jSN9WpBHRafvUPld.jpg,Columbia Pictures,1990-11-28,61276872.0,Released,Misery,7.6
Billy Crystal,Billy Crystal,54087,43000000.0,Drama,0104928,en,0.987196,/3rvZsOWshndy8t3YK0tnkd6r9wT.jpg,Columbia Pictures,1992-09-23,13300000.0,Released,Mr. Saturday Night,5.2
Sally Field,Martin Ritt,34322,13000000.0,Comedy,0089643,en,1.46034,/8SGFGus8lphNErEmzjvzDGrpACh.jpg,Columbia Pictures,1985-12-25,30867525.0,Released,Murphy's Romance,5.7
Faye Dunaway,Sidney Lumet,10774,3800000.0,Drama,0074958,en,13.180457,/nFovf0eUlbdGRqjdxETFunUAtI0.jpg,United Artists,1976-11-01,23689877.0,Released,Network,7.8
Kevin Costner,Roger Donaldson,10083,15000000.0,Action,0093640,en,11.457803,/6XoG37a4U7Jum8ChYoMHq6l5NQQ.jpg,Orion Pictures,1987-08-14,35509515.0,Released,No Way Out,6.9
Clint Eastwood,Clint Eastwood,10747,3700000.0,Drama,0075029,en,5.849522,/59ywz8rQmXn4bl60WOMJddPc7z.jpg,Warner Bros.,1976-06-30,31800000.0,Released,The Outlaw Josey Wales,7.4
Robert Downey Jr.,James Toback,38809,10000000.0,Drama,0165643,en,1.191035,/dDDIpoa4rqOYxrgdvaU7tJZvB1Z.jpg,Bigel / Mailer Films,1999-09-04,5241315.0,Released,Black and White,4.6
Dennis Quaid,Gregory Hoblit,10559,31000000.0,Crime,0186151,en,10.163266,/n0QAAZmIaPPIShVkk8eiKwfGV9.jpg,New Line Cinema,2000-04-28,68106245.0,Released,Frequency,7.0
David Arquette,Brian Robbins,20697,24000000.0,Action,0217756,en,3.6929800000000004,/cfO3xEdV0EV8bdrby8aeQrfmT4R.jpg,Bel Air Entertainment,2000-04-07,12372410.0,Released,Ready to Rumble,4.7
David Duchovny,Bonnie Hunt,2621,24000000.0,Romance,0122459,en,5.2697330000000004,/3HvUbZLA9laGje1IFq4Lvj5mqWZ.jpg,Metro-Goldwyn-Mayer (MGM),2000-04-07,36609995.0,Released,Return to Me,6.1
Tommy Lee Jones,William Friedkin,10479,60000000.0,Action,0160797,en,10.278274,/1UlrMyCza2xINltCyYgmAwQAx07.jpg,Paramount Pictures,2000-04-07,71000000.0,Released,Rules of Engagement,6.0
Harrison Ford,Guy Hamilton,17339,5000000.0,Action,0077572,en,5.05047,/hcvhw7ev8uxtMCtaXG8iWesZ2fw.jpg,Columbia Pictures Corporation,1978-11-01,7230000.0,Released,Force 10 from Navarone,6.4
Dudley Moore,Steve Gordon,13665,7000000.0,Comedy,0082031,en,14.911301000000002,/lg5IojZvRMiiDabnxSxh8RC49QO.jpg,Orion Pictures,1981-07-17,95461682.0,Released,Arthur,6.5
Tom Hanks,Neal Israel,12309,6000000.0,Comedy,0086927,en,5.511756,/truIlGNy9H8mmSzIu626ZYcZJHg.jpg,Bachelor Party Productions,1984-06-29,38435947.0,Released,Bachelor Party,5.8
Arnold Schwarzenegger,John McTiernan,106,18000000.0,Science Fiction,0093773,en,18.495694,/bj7A0teF2TWxxNGZjWTXiGrvCu2.jpg,Twentieth Century Fox Film Corporation,1987-06-11,98235548.0,Released,Predator,7.3
Nick Nolte,Barbra Streisand,10333,30000000.0,Drama,0102713,en,2.9609419999999997,/pstlHVvLHV9WWU3mgxn5WMKBVX9.jpg,Columbia Pictures,1991-12-25,74787599.0,Released,The Prince of Tides,5.9
Christian Bale,Mary Harron,1359,7000000.0,Thriller,0144084,en,13.686715,/qXsylPM4Lr5397R3eHrfqHhTUNc.jpg,Lions Gate Films,2000-04-13,34266564.0,Released,American Psycho,7.3
Ben Stiller,Edward Norton,4967,30000000.0,Comedy,0171433,en,6.045585,/wbW4OnSNcuywgmJFdlvL8SvHx4.jpg,Spyglass Entertainment,2000-04-14,37036004.0,Released,Keeping the Faith,5.9
Om Puri,Damien O'Donnell,10557,3800000.0,Comedy,0166175,en,5.138367,/wZaIFzgnsfFj50df20W1eDHmI44.jpg,BBC,1999-05-14,28200000.0,Released,East Is East,6.5
Dustin Hoffman,John Schlesinger,10518,6500000.0,Thriller,0074860,en,6.006812,/wu1T58QID2uxPspf0Jxm2FNgsb9.jpg,Paramount Pictures,1976-10-05,21709020.0,Released,Marathon Man,7.2
Chevy Chase,Harold Ramis,11977,6000000.0,Comedy,0080487,en,10.451986,/tv6s71pj8mhHtfk6DaSxMlu9pd7.jpg,Orion Pictures,1980-07-25,39846344.0,Released,Caddyshack,6.7
Joshua Jackson,Davis Guggenheim,18041,14000000.0,Drama,0176783,en,8.25719,/jsSDDvXM1Lmxe8mIkCRRG8u9Q5k.jpg,Village Roadshow Pictures,2000-04-21,5108820.0,Released,Gossip,5.6
"Chris Warren, Jr.",Gina Prince-Bythewood,14736,20000000.0,Action,0199725,en,5.733226999999999,/zNZWNX19FZ5QyedprVM0ldsXFiP.jpg,40 Acres & A Mule Filmworks,2000-04-21,27728118.0,Released,Love & Basketball,7.5
Matthew McConaughey,Jonathan Mostow,3536,62000000.0,Action,0141926,en,7.879924000000001,/6zdPIbSF9vxCBZpntNvishPo5ol.jpg,Universal Pictures,2000-04-20,127666415.0,Released,U-571,6.1
James Woods,Sofia Coppola,1443,6000000.0,Drama,0159097,en,10.505386999999999,/uokfCMwTIyYaXfo3KoNSmzvjXn1.jpg,American Zoetrope,1999-04-21,10409377.0,Released,The Virgin Suicides,7.1
Andy García,Bruce Robinson,10424,20000000.0,Crime,0104549,en,4.620936,/kXYGrgE99FMAupMYHkSPHRqo5Jy.jpg,Paramount Pictures,1992-11-06,11390479.0,Released,Jennifer Eight,5.8
Mark Addy,Brian Levant,889,83000000.0,Science Fiction,0158622,en,6.053595,/nEkMYwctrUH8ueaAcJFZnAEltMX.jpg,Universal Pictures,2000-04-28,59468275.0,Released,The Flintstones in Viva Rock Vegas,4.4
Natalie Portman,Matt Williams,10564,15000000.0,Comedy,0198021,en,5.833133,/rNP5NSdXzl6y5CuQ6Sh2JmEnvt5.jpg,Twentieth Century Fox Film Corporation,2000-04-27,33771174.0,Released,Where the Heart Is,6.9
Kevin Spacey,John Swanbeck,15723,7000000.0,Comedy,0189584,en,4.896026,/9rAKJlffPWstGXL2HYOmoboaFBF.jpg,Franchise Pictures,2000-04-28,3728888.0,Released,The Big Kahuna,6.8
Russell Crowe,Ridley Scott,98,103000000.0,Action,0172495,en,23.186667,/6WBIzCgmDCYrqh64yDREGeDk9d3.jpg,DreamWorks SKG,2000-05-01,457640427.0,Released,Gladiator,7.9
John Simm,Justin Kerrigan,11129,600000.0,Comedy,0188674,en,4.988283,/4FmaeS2uBVhpjnFuGphV5lAKXZ7.jpg,Irish Screen,1999-06-04,4000000.0,Released,Human Traffic,6.8
Perry King,Martin Davidson,38925,160000.0,Drama,0071772,en,1.3915030000000002,/nW7lC5IrrylvU8inAz8aodnkYxQ.jpg,Columbia Pictures,1974-05-01,4000000.0,Released,The Lords of Flatbush,5.7
